structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Primary visual area, layer 2/3",964.0,1.0,965.0,1.039674,1.256765,2.296439,927.2137227630969,0.7956937056649414
"Primary visual area, layer 5",644.0,6.0,650.0,0.962573,1.023235,1.985808,669.0401663042699,5.863755637756723
"Dorsal part of the lateral geniculate complex, core",371.0,0.0,371.0,0.250588,0.231837,0.482425,1480.517822082462,0.0
Lateral posterior nucleus of the thalamus,240.0,0.0,240.0,0.749769,0.7524219999999999,1.5021909999999998,320.09859036583265,0.0
"Primary visual area, layer 4",207.0,0.0,207.0,0.593823,0.684194,1.278017,348.5887208814748,0.0
"Retrosplenial area, ventral part, layer 5",162.0,0.0,162.0,0.88905,0.8820129999999999,1.7710629999999998,182.21697317361227,0.0
"Dorsal part of the lateral geniculate complex, shell",122.0,0.0,122.0,0.12114,0.116591,0.237731,1007.0992240383029,0.0
Lateral dorsal nucleus of thalamus,121.0,1.0,122.0,0.533014,0.5430699999999999,1.0760839999999998,227.01092279002054,1.841383247095218
"Retrosplenial area, dorsal part, layer 5",110.0,0.0,110.0,0.611166,0.624652,1.235818,179.98383417925737,0.0
"Retrosplenial area, dorsal part, layer 6a",89.0,0.0,89.0,0.4574669999999999,0.4409229999999999,0.8983899999999999,194.54955220813747,0.0
"Laterointermediate area, layer 5",53.0,0.0,53.0,0.085378,0.085951,0.171329,620.7688163227061,0.0
"Anterolateral visual area, layer 5",50.0,1.0,51.0,0.119015,0.123998,0.2430129999999999,420.1151115405621,8.064646203971032
"Primary visual area, layer 6a",48.0,3.0,51.0,0.656283,0.676439,1.332722,73.13917928698443,4.4349897034322385
"Retrosplenial area, ventral part, layer 6a",49.0,0.0,49.0,0.3828769999999999,0.370722,0.7535989999999999,127.97843693927818,0.0
optic radiation,48.0,0.0,48.0,1.032437,1.061228,2.093665,46.49194091261742,0.0
"posteromedial visual area, layer 5",46.0,0.0,46.0,0.144695,0.147035,0.29173,317.91008673416496,0.0
"Laterointermediate area, layer 4",41.0,0.0,41.0,0.030975,0.0322029999999999,0.063178,1323.6481033091202,0.0
"Lateral visual area, layer 5",37.0,2.0,39.0,0.1932259999999999,0.185826,0.3790519999999999,191.4856178775114,10.762756557209434
Diagonal band nucleus,31.0,6.0,37.0,0.3901139999999999,0.414618,0.804732,79.46395156287652,14.471151758968496
"Posterolateral visual area, layer 5",33.0,4.0,37.0,0.151949,0.155741,0.30769,217.17813213644052,25.683667113990538
Ventral anterior-lateral complex of the thalamus,31.0,0.0,31.0,0.4889159999999999,0.5006189999999999,0.9895349999999998,63.40557478176211,0.0
"Dorsal part of the lateral geniculate complex, ipsilateral zone",29.0,1.0,30.0,0.0583329999999999,0.055698,0.114031,497.1456979754179,17.95396603109627
"Laterointermediate area, layer 2/3",23.0,1.0,24.0,0.058334,0.061805,0.120139,394.2812082147633,16.17992071838848
"Primary auditory area, layer 5",23.0,1.0,24.0,0.3848419999999999,0.34585,0.7306919999999999,59.76478658774251,2.891426919184618
"Retrosplenial area, lateral agranular part, layer 5",23.0,0.0,23.0,0.342657,0.369987,0.712644,67.12251610210794,0.0
"Postrhinal area, layer 5",22.0,1.0,23.0,0.212922,0.216628,0.42955,103.32422201557378,4.616208431043079
fiber tracts,21.0,0.0,21.0,0.8123589999999999,0.854661,1.66702,25.850639926436468,0.0
"Primary visual area, layer 1",21.0,0.0,21.0,0.626365,0.7614799999999999,1.387845,33.52677751790091,0.0
"Dorsal auditory area, layer 5",19.0,1.0,20.0,0.209013,0.191388,0.400401,90.90343662834368,5.22498798252764
"Anteromedial visual area, layer 5",20.0,0.0,20.0,0.1077689999999999,0.1127939999999999,0.2205629999999999,185.5821247297462,0.0
"Retrosplenial area, ventral part, layer 2/3",18.0,0.0,18.0,0.493612,0.5006499999999999,0.994262,36.46588818748329,0.0
brachium of the superior colliculus,17.0,0.0,17.0,0.114878,0.119167,0.234045,147.98307769982068,0.0
"Anterior area, layer 5",17.0,0.0,17.0,0.1770709999999999,0.189972,0.367043,96.00668658334799,0.0
"Entorhinal area, lateral part, layer 5",6.0,10.0,16.0,0.7948609999999999,0.814051,1.608912,7.548489610133093,12.2842426334468
"Lateral visual area, layer 4",14.0,1.0,15.0,0.1031639999999999,0.102906,0.2060699999999999,135.7062541196543,9.717606359201602
"Temporal association areas, layer 5",15.0,0.0,15.0,0.508448,0.426554,0.935002,29.50154194725911,0.0
"Anterolateral visual area, layer 4",14.0,0.0,14.0,0.0575959999999999,0.064674,0.1222699999999999,243.072435585805,0.0
arbor vitae,2.0,10.0,12.0,3.289808,3.480291,6.770099,0.6079382140234324,2.873322949144195
Posterior complex of the thalamus,12.0,0.0,12.0,0.695904,0.693072,1.388976,17.243757759690993,0.0
"Anterolateral visual area, layer 2/3",12.0,0.0,12.0,0.0987619999999999,0.1171899999999999,0.2159519999999999,121.50422227172406,0.0
"Posterolateral visual area, layer 2/3",12.0,0.0,12.0,0.114517,0.108537,0.2230539999999999,104.78793541570248,0.0
Ventral medial nucleus of the thalamus,12.0,0.0,12.0,0.613694,0.628154,1.241848,19.55371895439747,0.0
Ventral posterolateral nucleus of the thalamus,11.0,0.0,11.0,0.4926279999999999,0.4912289999999999,0.983857,22.329222049903787,0.0
"Temporal association areas, layer 4",11.0,0.0,11.0,0.155394,0.13385,0.289244,70.78780390491268,0.0
"Retrosplenial area, dorsal part, layer 2/3",11.0,0.0,11.0,0.442777,0.433662,0.876439,24.843205496220445,0.0
"Temporal association areas, layer 2/3",11.0,0.0,11.0,0.332719,0.274032,0.606751,33.06093129637923,0.0
"Primary somatosensory area, barrel field, layer 5",9.0,0.0,9.0,0.7100529999999999,0.7451019999999999,1.455155,12.675110167832543,0.0
Area prostriata,9.0,0.0,9.0,0.156754,0.147274,0.3040279999999999,57.41480281204945,0.0
"Secondary motor area, layer 5",9.0,0.0,9.0,2.683835,2.627708,5.311543,3.353410325150391,0.0
Thalamus,9.0,0.0,9.0,0.537857,0.5392859999999999,1.077143,16.733072173458744,0.0
"Orbital area, ventrolateral part, layer 2/3",8.0,0.0,8.0,0.258031,0.259527,0.517558,31.004026647960902,0.0
"Postrhinal area, layer 6a",8.0,0.0,8.0,0.102611,0.105027,0.207638,77.96435080059643,0.0
Lateral preoptic area,6.0,2.0,8.0,0.353269,0.354823,0.7080919999999999,16.984224486156442,5.6366131846019005
"Anterior area, layer 2/3",7.0,0.0,7.0,0.175844,0.210337,0.386181,39.808011646686836,0.0
"Secondary motor area, layer 1",0.0,6.0,6.0,1.213338,1.164975,2.378313,0.0,5.150325114272838
Hypothalamus,6.0,0.0,6.0,1.597181,1.585594,3.182775,3.7566186925589524,0.0
"Entorhinal area, medial part, dorsal zone, layer 5",6.0,0.0,6.0,0.576751,0.638397,1.215148,10.403102898824622,0.0
"Anterior cingulate area, dorsal part, layer 5",6.0,0.0,6.0,0.634832,0.6329049999999999,1.267737,9.451319404188826,0.0
Parafascicular nucleus,6.0,0.0,6.0,0.2902969999999999,0.275178,0.565475,20.668487790090843,0.0
"Dorsal auditory area, layer 2/3",6.0,0.0,6.0,0.161776,0.154579,0.316355,37.0883196518643,0.0
Mediodorsal nucleus of thalamus,6.0,0.0,6.0,0.809665,0.8408089999999999,1.650474,7.410472232343007,0.0
